,Time,VNE atom7 t_q = linear flat,VNE atom7 t_q = 8,VNE atom6 t_q = linear flat,VNE atom6 t_q = 8,VNE atom5 t_q = linear flat,VNE atom5 t_q = 8,VNE atom4 t_q = linear flat,VNE atom4 t_q = 8,VNE atom3 t_q = linear flat,VNE atom3 t_q = 8,VNE atom2 t_q = linear flat,VNE atom2 t_q = 8
202,0.202,0.05653469062799045,0.06007623780330517,0.06174372906261722,0.06571950949147165,0.0861606029963614,0.15298458429870845,0.06628698621477577,0.14412712989746146,0.08616060299636166,0.5386963110095729,0.06174372906261785,0.5333573843740326
203,0.203,0.056805855557592884,0.060401332466828855,0.061751999330989016,0.06571032626777441,0.08649457913639544,0.15462004320259556,0.06657537654340079,0.1455407085663082,0.08649457913639506,0.5394147175425388,0.06175199933098982,0.5338531433045779
204,0.20400000000000001,0.05704945701448221,0.0606927825193014,0.061858559024762255,0.06584853128172866,0.08684154452822695,0.15623500622858266,0.06692433030441385,0.1473542573996239,0.08684154452822732,0.5399374090764968,0.0618585590247626,0.5341483944389818
205,0.20500000000000002,0.0572633773306791,0.06094936295090615,0.062076145026210935,0.06615628649841464,0.08719892561354996,0.1578238486344462,0.06733460362432343,0.14956193720591804,0.08719892561355043,0.5403133982085877,0.06207614502621166,0.5342567091851935
206,0.20600000000000002,0.057444883339328706,0.06116940006443501,0.062409758890288936,0.06664547984494479,0.08756110573815262,0.15938036199258127,0.06780442898228034,0.15214096274239683,0.08756110573815265,0.5405902209534272,0.06240975889028816,0.5341469740452262
207,0.20700000000000002,0.05759125914430509,0.061351387959399026,0.06285527730623028,0.0673152053457323,0.0879200311901926,0.16089836755016268,0.06832888439986134,0.15505077780102633,0.08792003119019318,0.5408113613274325,0.06285527730623033,0.5337591728922881
208,0.20800000000000002,0.05770032988880465,0.061494500023760994,0.06339896533983101,0.06815030141173622,0.08826605812849149,0.16237238468198517,0.06889934090572224,0.1582320221967836,0.0882660581284916,0.5410140066897857,0.06339896533983108,0.533026412245496
209,0.209,0.057770795314464,0.0615989149285964,0.06401807798839267,0.0691213205944293,0.0885889224869763,0.16379827819511425,0.06950317729554416,0.16160603258017428,0.08858892248697633,0.5412273766585596,0.06401807798839268,0.5318988788667186
210,0.21,0.0578023364101341,0.06166591955792525,0.06468256574112588,0.07018610098591321,0.08887870772374144,0.16517381673298182,0.0701239221809022,0.16507568973593084,0.08887870772374244,0.5414717886245207,0.06468256574112544,0.5303652185480309
211,0.211,0.057795507411065414,0.06169779881828027,0.06535772316222642,0.07129286990499624,0.08912669892512053,0.16649909225260945,0.07074191920395792,0.16852829411236198,0.0891266989251206,0.5417585146563422,0.06535772316222611,0.528467386540313
212,0.212,0.057751470357256196,0.06169756614756696,0.06600747239511419,0.07238458574968279,0.08932604237804513,0.1677767733428119,0.07133552511630206,0.17184085210561056,0.08932604237804496,0.5420903684087289,0.06600747239511459,0.5263061819825791
213,0.213,0.05767166257680378,0.061668621184048866,0.0665978820732519,0.07340405512957271,0.08947217005276308,0.16901218788219513,0.0718827590030108,0.17488775527498157,0.08947217005276317,0.5424628586462614,0.0665978820732524,0.5240362273395912
214,0.214,0.05755750289312206,0.06161443661627229,0.06710049718667159,0.0742992709021463,0.08956298982821481,0.17021324845805652,0.07236324089334893,0.17755041305480518,0.08956298982821462,0.5428656772617234,0.06710049718667152,0.521850870108185
215,0.215,0.057410236954294015,0.06153837158556931,0.06749509306175061,0.0750284033977779,0.08959887672629398,0.17139024397503871,0.07276020228433341,0.17972802846242208,0.08959887672629417,0.543284266275728,0.06749509306175086,0.5199591527369952
216,0.216,0.057230996208426026,0.061443684398397175,0.06777155276179817,0.07556392888587306,0.08958252220084019,0.17255552228413693,0.07306232700823667,0.18134843598923803,0.08958252220084012,0.5437012330672978,0.06777155276179832,0.518558393793312
