,Time,VNE atom7 t_q = linear flat,VNE atom7 t_q = 10,VNE atom6 t_q = linear flat,VNE atom6 t_q = 10,VNE atom5 t_q = linear flat,VNE atom5 t_q = 10,VNE atom4 t_q = linear flat,VNE atom4 t_q = 10,VNE atom3 t_q = linear flat,VNE atom3 t_q = 10,VNE atom2 t_q = linear flat,VNE atom2 t_q = 10
251,0.251,0.060166897337284274,0.18267301203448172,0.0888569144699422,0.3230239953507905,0.09669067794393092,0.5814802207834062,0.10450302292694792,0.632652178736244,0.096690677943931,0.6494344892828736,0.08885691446994273,0.6114841561282414
252,0.252,0.06009461166967933,0.18832189498981028,0.08873176067308303,0.3262603534650747,0.09684906414834026,0.5867718383331428,0.10467830836679473,0.635242473647307,0.09684906414834024,0.6500069760417997,0.08873176067308347,0.6115922012380508
253,0.253,0.06000933788289121,0.19413421228625222,0.08857824544860801,0.32976304534130624,0.09706065159473612,0.5917367330824784,0.1048355037508906,0.6375246643555277,0.0970606515947364,0.6504744901532213,0.08857824544860848,0.6120410321184191
254,0.254,0.059913916889045446,0.20003395723185066,0.0884017541924063,0.33355419657979046,0.09731749083499885,0.5963240700701666,0.1049647413106235,0.6394622563150022,0.09731749083499892,0.6508250736143871,0.08840175419240691,0.6127799035015723
255,0.255,0.05981189246380279,0.20594229445258566,0.08820781165235114,0.33763333622241737,0.09760943729305133,0.6004964999955378,0.10505696299237179,0.6410365215697327,0.09760943729305105,0.6510505677383482,0.08820781165235184,0.6137333474441447
256,0.256,0.059707210286449985,0.21178031968355,0.08800200267664487,0.3419800711891877,0.09792493693733964,0.6042339016098993,0.10510476741602427,0.6422493573991637,0.09792493693734028,0.6511472706673669,0.08800200267664596,0.6148126551089296
257,0.257,0.05960387528807181,0.2174718166748698,0.08778992510645817,0.3465585234740004,0.09825185772862999,0.6075359995959246,0.10510325035386993,0.6431243100362689,0.09825185772863008,0.6511165253049211,0.08778992510645875,0.6159277504699667
258,0.258,0.059505607278669846,0.2229459390872673,0.08757715074432498,0.3513227472175861,0.09857827235310017,0.6104233465675197,0.10505073929082939,0.6437055548469918,0.0985782723531009,0.6509651929817021,0.08757715074432539,0.6169975895046294
259,0.259,0.059415534509121626,0.22813975087349878,0.08736916991517021,0.3562222638378416,0.09889311455153901,0.6129363797843781,0.10494931655716735,0.6440548623872219,0.09889311455153922,0.6507059495073562,0.08736916991517046,0.6179576310134737
260,0.26,0.059335959031027216,0.23300056160035834,0.08717129982890756,0.3612069204966841,0.09918665901016734,0.6151325441186148,0.1048050340942469,0.6442468231190376,0.09918665901016804,0.6503573278575707,0.08717129982890795,0.6187635504883693
261,0.261,0.059268217322260015,0.23748799397280096,0.08698854604154597,0.3662304695099571,0.09945080736382012,0.6170817655963687,0.1046277478240934,0.644362821690777,0.09945080736381953,0.6499434307801558,0.08698854604154617,0.6193910806463951
262,0.262,0.0592126462414876,0.24157572037867175,0.08682541822005552,0.37125254346008696,0.09967919403673323,0.6188608141481794,0.10443054003812062,0.6444844146314566,0.09967919403673306,0.6494932506034414,0.08682541822005599,0.6198325356217095
263,0.263,0.059168650026306883,0.245252804674509,0.08668571394916802,0.3762390121410808,0.0998671499859961,0.6205472644644736,0.10422875041190323,0.6446868476096126,0.09986714998599704,0.6490395634486491,0.0866857139491677,0.620091102733894
